Idade,Renda anual,Tipo residência,Tempo no emprego,Intenção de empréstimo,Valor do empréstimo,Taxa de juros,Status do empréstimo,Histórico não pagamentos,Tempo histórico de crédito
22,280840.0,ALUGUEL,123.0,PESSOAL,166600.0,16.02,0,S,3
21,45696.0,PRÓPRIO,5.0,EDUCAÇÃO,4760.0,11.14,1,N,2
25,45696.0,HIPOTECA,1.0,MÉDICO,26180.0,12.87,0,N,3
23,311780.0,ALUGUEL,4.0,MÉDICO,166600.0,15.23,0,N,2
24,258944.0,ALUGUEL,8.0,MÉDICO,166600.0,14.27,0,S,4
21,47124.0,PRÓPRIO,2.0,INVESTIMENTO,11900.0,7.14,0,N,2
26,366996.0,ALUGUEL,8.0,EDUCAÇÃO,166600.0,12.42,0,N,3
24,375830.56,ALUGUEL,5.0,MÉDICO,166600.0,11.11,0,N,4
24,395080.0,ALUGUEL,8.0,PESSOAL,166600.0,8.9,0,N,2
21,47600.0,PRÓPRIO,6.0,INVESTIMENTO,7616.0,14.74,0,N,3
22,404600.0,ALUGUEL,6.0,INVESTIMENTO,166600.0,10.37,0,N,4
21,47600.0,PRÓPRIO,2.0,REFORMA,21420.0,8.63,0,N,2
23,452200.0,ALUGUEL,2.0,INVESTIMENTO,166600.0,7.9,0,N,2
26,514841.6,ALUGUEL,4.0,EDUCAÇÃO,166600.0,18.39,0,N,4
23,547400.0,ALUGUEL,2.0,EDUCAÇÃO,166600.0,7.9,1,N,4
23,2380000.0,HIPOTECA,7.0,PAGAMENTO DE DIVIDAS,142800.0,10.65,1,N,3
23,571200.0,ALUGUEL,0.0,EDUCAÇÃO,166600.0,7.9,1,N,4
23,438448.36,ALUGUEL,7.0,MÉDICO,166600.0,20.25,0,N,4
23,537880.0,ALUGUEL,8.0,PAGAMENTO DE DIVIDAS,166600.0,18.25,0,N,4
24,51408.0,HIPOTECA,8.0,EDUCAÇÃO,8330.0,10.99,0,N,2
25,773500.0,ALUGUEL,2.0,INVESTIMENTO,166600.0,7.49,1,N,4
25,652120.0,ALUGUEL,9.0,PESSOAL,165648.0,16.77,1,S,2
22,309400.0,ALUGUEL,4.0,EDUCAÇÃO,161840.0,17.58,0,N,4
24,52264.8,PRÓPRIO,0.0,PESSOAL,7140.0,7.29,1,N,3
22,380800.0,ALUGUEL,3.0,PESSOAL,161602.0,14.54,0,S,4
24,322470.96,ALUGUEL,8.0,REFORMA,157080.0,12.68,0,N,3
21,52360.0,HIPOTECA,3.0,INVESTIMENTO,21777.0,17.74,0,S,3
23,52360.0,PRÓPRIO,0.0,PESSOAL,6664.0,9.32,1,N,3
24,309400.0,ALUGUEL,6.0,REFORMA,154700.0,9.99,0,N,3
21,54211.64,OUTRO,5.0,EDUCAÇÃO,19040.0,12.84,0,S,2
21,54835.2,PRÓPRIO,5.0,MÉDICO,9520.0,11.12,0,N,3
25,571200.0,ALUGUEL,2.0,INVESTIMENTO,152320.0,6.62,1,N,2
26,452200.0,ALUGUEL,7.0,REFORMA,147798.0,14.17,0,S,3
25,1456560.0,ALUGUEL,2.0,PAGAMENTO DE DIVIDAS,115430.0,13.85,1,N,3
26,1428000.0,HIPOTECA,10.0,MÉDICO,37128.0,13.49,1,N,4
21,57120.0,PRÓPRIO,5.0,EDUCAÇÃO,11900.0,7.51,0,N,4
22,228480.0,ALUGUEL,1.0,EDUCAÇÃO,142800.0,18.39,0,N,2
24,304640.0,ALUGUEL,8.0,PAGAMENTO DE DIVIDAS,142800.0,14.54,0,S,3
25,357000.0,ALUGUEL,4.0,REFORMA,142800.0,16.89,0,S,4
23,340340.0,ALUGUEL,3.0,PAGAMENTO DE DIVIDAS,142800.0,,0,N,4
26,295358.0,ALUGUEL,6.0,MÉDICO,142800.0,17.99,0,N,2
24,57120.0,PRÓPRIO,4.0,INVESTIMENTO,11900.0,12.69,0,N,3
26,1428000.0,HIPOTECA,10.0,INVESTIMENTO,95200.0,7.88,1,N,4
23,1428000.0,PRÓPRIO,1.0,EDUCAÇÃO,115430.0,19.41,1,S,2
26,1428000.0,PRÓPRIO,9.0,REFORMA,47600.0,10.38,1,N,4
26,1428000.0,HIPOTECA,0.0,EDUCAÇÃO,119000.0,15.33,1,N,3
25,1428000.0,HIPOTECA,9.0,REFORMA,85680.0,16.45,1,N,3
26,384084.4,ALUGUEL,8.0,PESSOAL,142800.0,7.49,0,N,3
22,315588.0,ALUGUEL,4.0,MÉDICO,142800.0,12.69,0,N,3
26,423773.28,ALUGUEL,0.0,PAGAMENTO DE DIVIDAS,142800.0,6.62,0,N,3
24,371280.0,ALUGUEL,4.0,PAGAMENTO DE DIVIDAS,142800.0,,0,S,4
23,371280.0,ALUGUEL,7.0,PAGAMENTO DE DIVIDAS,142800.0,18.62,0,S,3
23,437939.04,ALUGUEL,6.0,PESSOAL,142800.0,15.23,0,S,3
23,461720.0,ALUGUEL,7.0,INVESTIMENTO,142800.0,10.65,0,N,2
25,571200.0,ALUGUEL,9.0,EDUCAÇÃO,142800.0,7.9,1,N,4
26,1332800.0,ALUGUEL,4.0,PESSOAL,47600.0,15.96,1,S,3
26,1319015.04,ALUGUEL,0.0,INVESTIMENTO,95200.0,11.48,1,N,3
23,1318520.0,PRÓPRIO,3.0,PESSOAL,166600.0,,1,N,4
25,609280.0,ALUGUEL,9.0,PESSOAL,142800.0,7.29,1,N,4
24,57120.0,PRÓPRIO,2.0,INVESTIMENTO,8330.0,,1,S,3
21,623560.0,ALUGUEL,0.0,INVESTIMENTO,142800.0,5.99,1,N,4
22,1309000.0,PRÓPRIO,6.0,INVESTIMENTO,57120.0,11.58,1,N,2
26,1251880.0,HIPOTECA,0.0,EDUCAÇÃO,47600.0,,0,N,4
25,1056006.0,HIPOTECA,9.0,MÉDICO,119000.0,15.7,0,N,2
22,333200.0,ALUGUEL,6.0,EDUCAÇÃO,138516.0,15.99,0,N,3
22,57120.0,HIPOTECA,7.0,EDUCAÇÃO,7140.0,14.84,1,S,3
26,1237600.0,PRÓPRIO,10.0,REFORMA,133280.0,10.99,1,N,3
25,1232840.0,HIPOTECA,9.0,REFORMA,95200.0,14.42,1,S,2
24,1213800.0,HIPOTECA,9.0,EDUCAÇÃO,45696.0,6.99,1,N,2
25,1190000.0,ALUGUEL,2.0,MÉDICO,119000.0,13.49,1,N,4
25,57120.0,PRÓPRIO,0.0,MÉDICO,14280.0,,0,N,3
22,271082.0,ALUGUEL,6.0,MÉDICO,133280.0,,0,N,2
21,57120.0,PRÓPRIO,6.0,EDUCAÇÃO,14280.0,13.61,0,S,3
23,309400.0,ALUGUEL,2.0,EDUCAÇÃO,133280.0,7.9,0,N,2
26,404600.0,ALUGUEL,2.0,INVESTIMENTO,133280.0,7.49,0,N,3
26,57120.0,PRÓPRIO,2.0,EDUCAÇÃO,29036.0,7.51,0,N,3
22,418880.0,ALUGUEL,6.0,INVESTIMENTO,133280.0,9.91,0,N,3
