Idade,Renda anual,Tipo residência,Tempo no emprego,Intenção de empréstimo,Valor do empréstimo,Taxa de juros,Histórico não pagamentos,Tempo histórico de crédito,Status do empréstimo
26,285600.0,HIPOTECA,3.0,PESSOAL,54740.0,7.88,N,2,1
28,95161.92,ALUGUEL,12.0,EDUCAÇÃO,14280.0,7.14,N,9,0
27,166600.0,ALUGUEL,11.0,MÉDICO,59500.0,15.65,S,8,0
22,241155.88,ALUGUEL,0.0,PAGAMENTO DE DIVIDAS,35700.0,13.22,N,3,1
21,454104.0,HIPOTECA,0.0,PESSOAL,57120.0,5.42,N,2,1
33,476000.0,HIPOTECA,1.0,REFORMA,119000.0,10.39,N,8,1
30,704480.0,ALUGUEL,8.0,INVESTIMENTO,47600.0,13.55,N,9,1
23,510652.8,HIPOTECA,4.0,EDUCAÇÃO,119000.0,16.45,S,4,1
23,359856.0,ALUGUEL,3.0,PESSOAL,95200.0,16.32,S,3,1
30,456960.0,HIPOTECA,11.0,EDUCAÇÃO,33320.0,6.03,N,10,1
43,223720.0,PRÓPRIO,2.0,INVESTIMENTO,47600.0,7.88,N,16,1
30,476000.0,HIPOTECA,2.0,EDUCAÇÃO,47600.0,16.77,S,10,1
22,228480.0,ALUGUEL,1.0,MÉDICO,34272.0,9.62,N,4,1
23,199920.0,ALUGUEL,2.0,EDUCAÇÃO,33320.0,7.88,N,3,1
24,642600.0,HIPOTECA,0.0,INVESTIMENTO,59500.0,,N,4,1
30,142800.0,HIPOTECA,6.0,EDUCAÇÃO,47600.0,9.91,N,10,1
24,476000.0,HIPOTECA,8.0,MÉDICO,51170.0,6.99,N,4,1
25,409379.03,ALUGUEL,1.0,PESSOAL,71400.0,12.53,S,4,1
26,285600.0,HIPOTECA,10.0,EDUCAÇÃO,37485.0,7.66,N,3,1
26,218960.0,ALUGUEL,4.0,PAGAMENTO DE DIVIDAS,42840.0,7.14,N,3,1
29,238000.0,PRÓPRIO,3.0,PESSOAL,28560.0,13.99,N,8,1
23,178500.0,ALUGUEL,5.0,PESSOAL,33320.0,12.69,N,4,1
25,328440.0,HIPOTECA,5.0,PESSOAL,95200.0,10.75,N,2,1
25,242760.0,ALUGUEL,0.0,MÉDICO,45696.0,,S,2,1
31,1237600.0,HIPOTECA,6.0,MÉDICO,119000.0,13.57,S,6,1
29,369495.0,ALUGUEL,1.0,PAGAMENTO DE DIVIDAS,95200.0,11.11,N,9,1
22,542640.0,ALUGUEL,2.0,INVESTIMENTO,23800.0,15.31,N,3,0
29,618800.0,HIPOTECA,5.0,EDUCAÇÃO,118048.0,7.49,N,10,1
27,761600.0,HIPOTECA,4.0,REFORMA,119000.0,10.99,N,10,1
24,52264.8,PRÓPRIO,0.0,PESSOAL,7140.0,7.29,N,3,1
47,176120.0,HIPOTECA,6.0,REFORMA,35224.0,8.0,N,15,1
34,123760.0,PRÓPRIO,0.0,MÉDICO,14280.0,8.49,N,9,1
29,99960.0,ALUGUEL,7.0,MÉDICO,33320.0,13.72,N,10,0
23,108927.84,ALUGUEL,8.0,EDUCAÇÃO,28560.0,11.49,N,3,1
41,158222.4,PRÓPRIO,,MÉDICO,4760.0,7.29,N,17,1
21,480779.03,HIPOTECA,2.0,PAGAMENTO DE DIVIDAS,66640.0,10.25,N,2,1
25,342720.0,HIPOTECA,2.0,MÉDICO,23800.0,6.03,N,3,1
23,418880.0,ALUGUEL,4.0,REFORMA,19040.0,7.14,N,4,0
23,476000.0,HIPOTECA,7.0,EDUCAÇÃO,71400.0,7.88,N,4,1
32,333200.0,HIPOTECA,7.0,PAGAMENTO DE DIVIDAS,47600.0,9.88,N,5,1
21,182784.0,ALUGUEL,5.0,EDUCAÇÃO,23800.0,10.59,N,3,1
23,114673.16,HIPOTECA,5.0,PESSOAL,16660.0,12.99,S,2,1
22,298728.1,ALUGUEL,2.0,EDUCAÇÃO,30464.0,8.49,N,3,1
23,171360.0,HIPOTECA,7.0,EDUCAÇÃO,9520.0,11.49,N,2,1
21,138040.0,ALUGUEL,5.0,PAGAMENTO DE DIVIDAS,47600.0,10.0,N,4,0
24,177286.2,ALUGUEL,9.0,EDUCAÇÃO,34272.0,8.9,N,4,1
27,238000.0,ALUGUEL,0.0,EDUCAÇÃO,38080.0,7.9,N,8,1
28,452200.0,HIPOTECA,0.0,MÉDICO,52360.0,13.06,S,9,1
22,123779.04,ALUGUEL,5.0,INVESTIMENTO,22848.0,10.99,N,3,1
26,218960.0,ALUGUEL,3.0,MÉDICO,52360.0,16.29,S,3,0
22,171360.0,HIPOTECA,6.0,PESSOAL,6664.0,14.84,S,4,1
29,323680.0,ALUGUEL,4.0,EDUCAÇÃO,7616.0,11.48,N,10,1
23,190400.0,ALUGUEL,0.0,INVESTIMENTO,71400.0,8.94,N,4,0
24,142800.0,ALUGUEL,0.0,MÉDICO,9520.0,8.07,N,4,1
26,299880.0,HIPOTECA,10.0,MÉDICO,47600.0,6.91,N,2,1
36,147560.0,ALUGUEL,2.0,MÉDICO,38080.0,14.11,N,12,0
31,266560.0,ALUGUEL,15.0,PAGAMENTO DE DIVIDAS,14280.0,14.27,N,6,1
25,252299.05,HIPOTECA,3.0,INVESTIMENTO,22848.0,5.42,N,2,1
23,142800.0,ALUGUEL,0.0,EDUCAÇÃO,28560.0,13.49,S,3,1
33,571200.0,ALUGUEL,1.0,PESSOAL,43554.0,13.99,N,5,1
24,499800.0,HIPOTECA,5.0,PESSOAL,57120.0,16.29,N,2,1
23,335580.0,PRÓPRIO,2.0,EDUCAÇÃO,49980.0,13.92,N,4,1
25,176120.0,ALUGUEL,1.0,PAGAMENTO DE DIVIDAS,19992.0,,S,2,0
30,342720.0,HIPOTECA,3.0,PESSOAL,57120.0,10.95,N,5,1
28,285600.0,HIPOTECA,5.0,MÉDICO,28560.0,10.99,N,6,1
24,214200.0,ALUGUEL,8.0,MÉDICO,95200.0,,N,2,0
28,181812.95,HIPOTECA,5.0,MÉDICO,51170.0,10.75,N,10,1
30,423659.03,ALUGUEL,6.0,MÉDICO,28560.0,13.16,S,5,1
30,178976.0,ALUGUEL,2.0,EDUCAÇÃO,71400.0,13.06,S,10,0
23,76160.0,HIPOTECA,3.0,PAGAMENTO DE DIVIDAS,10829.0,13.06,S,4,1
23,257040.0,ALUGUEL,7.0,EDUCAÇÃO,7140.0,9.62,N,4,1
41,238000.0,ALUGUEL,0.0,MÉDICO,28560.0,10.71,N,11,1
42,323680.0,ALUGUEL,3.0,MÉDICO,40460.0,10.37,N,12,1
26,333200.0,ALUGUEL,3.0,PESSOAL,28560.0,8.49,N,4,1
29,257511.23,HIPOTECA,2.0,PAGAMENTO DE DIVIDAS,99960.0,9.96,N,6,1
33,228480.0,ALUGUEL,2.0,INVESTIMENTO,7140.0,11.89,N,6,1
